week,indicator,inc,inc_low,inc_up,inc100,inc100_low,inc100_up,geo_insee,geo_name
202504,3,36675,31115,42235,648,550,746,44,GRAND EST
202504,3,35471,29012,41930,568,465,671,75,NOUVELLE-AQUITAINE
202504,3,38232,32600,43864,459,391,527,84,AUVERGNE-RHONE-ALPES
202504,3,14665,11223,18107,510,390,630,27,BOURGOGNE-FRANCHE-COMTE
202504,3,29521,24499,34543,841,698,984,53,BRETAGNE
202504,3,15392,11185,19599,583,424,742,24,CENTRE-VAL-DE-LOIRE
202504,3,2541,1785,3297,713,501,925,94,CORSE
202504,3,52980,45870,60090,424,367,481,11,ILE-DE-FRANCE
202504,3,35873,30133,41613,578,485,671,76,OCCITANIE
202504,3,33974,28500,39448,558,468,648,32,HAUTS-DE-FRANCE
202504,3,8026,5971,10081,235,175,295,28,NORMANDIE
202504,3,13338,9948,16728,336,251,421,52,PAYS-DE-LA-LOIRE
202504,3,47707,36652,58762,910,699,1121,93,PROVENCE-ALPES-COTE-D-AZUR
202503,3,24919,20722,29116,440,366,514,44,GRAND EST
202503,3,22728,18418,27038,364,295,433,75,NOUVELLE-AQUITAINE
202503,3,26115,21770,30460,313,261,365,84,AUVERGNE-RHONE-ALPES
202503,3,11273,8325,14221,392,289,495,27,BOURGOGNE-FRANCHE-COMTE
202503,3,19894,15907,23881,567,453,681,53,BRETAGNE
202503,3,9365,6840,11890,355,259,451,24,CENTRE-VAL-DE-LOIRE
202503,3,2017,1446,2588,566,406,726,94,CORSE
202503,3,37351,32280,42422,299,258,340,11,ILE-DE-FRANCE
202503,3,25948,21593,30303,418,348,488,76,OCCITANIE
202503,3,24952,20655,29249,410,339,481,32,HAUTS-DE-FRANCE
202503,3,4754,3281,6227,139,96,182,28,NORMANDIE
202503,3,10547,7621,13473,266,192,340,52,PAYS-DE-LA-LOIRE
202503,3,19870,15305,24435,379,292,466,93,PROVENCE-ALPES-COTE-D-AZUR
202502,3,24259,20169,28349,428,356,500,44,GRAND EST
202502,3,23537,19456,27618,377,312,442,75,NOUVELLE-AQUITAINE
202502,3,34549,29136,39962,415,350,480,84,AUVERGNE-RHONE-ALPES
202502,3,13250,10497,16003,461,365,557,27,BOURGOGNE-FRANCHE-COMTE
202502,3,10993,7945,14041,313,226,400,53,BRETAGNE
202502,3,9234,6935,11533,350,263,437,24,CENTRE-VAL-DE-LOIRE
202502,3,1676,1191,2161,470,334,606,94,CORSE
202502,3,40884,34246,47522,327,274,380,11,ILE-DE-FRANCE
202502,3,29657,24608,34706,478,397,559,76,OCCITANIE
202502,3,19902,15923,23881,327,262,392,32,HAUTS-DE-FRANCE
202502,3,6971,5064,8878,205,149,261,28,NORMANDIE
202502,3,7217,5113,9321,182,129,235,52,PAYS-DE-LA-LOIRE
202502,3,16926,12762,21090,323,244,402,93,PROVENCE-ALPES-COTE-D-AZUR
202501,3,22390,17912,26868,395,316,474,44,GRAND EST
202501,3,22823,17644,28002,365,282,448,75,NOUVELLE-AQUITAINE
202501,3,26021,21429,30613,312,257,367,84,AUVERGNE-RHONE-ALPES
202501,3,7179,4524,9834,250,158,342,27,BOURGOGNE-FRANCHE-COMTE
202501,3,9279,6562,11996,264,187,341,53,BRETAGNE
202501,3,7067,4407,9727,268,167,369,24,CENTRE-VAL-DE-LOIRE
202501,3,281,39,523,79,11,147,94,CORSE
202501,3,23279,18929,27629,186,151,221,11,ILE-DE-FRANCE
202501,3,20685,15537,25833,333,250,416,76,OCCITANIE
202501,3,24046,18729,29363,395,308,482,32,HAUTS-DE-FRANCE
202501,3,4049,2382,5716,119,70,168,28,NORMANDIE
202501,3,9364,5726,13002,236,144,328,52,PAYS-DE-LA-LOIRE
202501,3,25099,17783,32415,479,339,619,93,PROVENCE-ALPES-COTE-D-AZUR
